Titel,Datum,Ort,Link
Stand Up Sunday | open mic night in English,"Sun, Jan 12, 8:00 PM",James Joyce Irish Pub,https://www.eventbrite.com/e/stand-up-sunday-open-mic-night-in-english-tickets-727518355987?aff=ebdssbcitybrowse
Burlesque Dinner Show mit Nita Bon Air,"Sun, Jan 12, 6:00 PM",Echtzeit,https://www.eventbrite.de/e/burlesque-dinner-show-mit-nita-bon-air-tickets-1097068815359?aff=ebdssbcitybrowse
Sinnvoller Sonntag,"Sun, Jan 12, 11:00 AM",Kadampa Meditationszentrum Köln,https://www.eventbrite.de/e/sinnvoller-sonntag-tickets-1114449100259?aff=ebdssbcitybrowse
PRIME TIME 2025 - Kostümparty der Schnieke-Funke 0815 e.V.,Freitag um 19:30,"Alteburg, Alteburger Str.  139, 50968 Köln",https://www.eventbrite.de/e/prime-time-2025-kostumparty-der-schnieke-funke-0815-ev-tickets-1013396495197?aff=ebdssbcitybrowse
Die Fokus Football Playoff Show!,Samstag um 14:00,XPERION Köln,https://www.eventbrite.com/e/die-fokus-football-playoff-show-tickets-1110260120909?aff=ebdssbcitybrowse
English Improv Theatre and Comedy Show,Samstag um 20:00,Alte Wursterei,https://www.eventbrite.de/e/english-improv-theatre-and-comedy-show-tickets-1083152611619?aff=ebdssbcitybrowse
Workshop für Eltern: Raus aus dem Drohen und Strafen - Rein ins Miteinander,Samstag um 10:00,Alte Feuerwache Köln,https://www.eventbrite.com/e/workshop-fur-eltern-raus-aus-dem-drohen-und-strafen-rein-ins-miteinander-tickets-1024373537827?aff=ebdssbcitybrowse
"Salsa in Köln, Salsa Night mit Einsteiger Workshop",Samstag um 21:00,Venloer Str. 420,https://www.eventbrite.de/e/salsa-in-koln-salsa-night-mit-einsteiger-workshop-tickets-1115051792929?aff=ebdssbcitybrowse
Stand Up Sunday | open mic night in English,"Sun, Jan 12, 8:00 PM",James Joyce Irish Pub,https://www.eventbrite.com/e/stand-up-sunday-open-mic-night-in-english-tickets-727518355987?aff=ebdssbcitybrowse
Burlesque Dinner Show mit Nita Bon Air,"Sun, Jan 12, 6:00 PM",Echtzeit,https://www.eventbrite.de/e/burlesque-dinner-show-mit-nita-bon-air-tickets-1097068815359?aff=ebdssbcitybrowse
Sinnvoller Sonntag,"Sun, Jan 12, 11:00 AM",Kadampa Meditationszentrum Köln,https://www.eventbrite.de/e/sinnvoller-sonntag-tickets-1114449100259?aff=ebdssbcitybrowse
Machine Learning & AI (KI) Workshop für Anfänger:innen,heute um 17:00 GMT+1,Köln,https://www.eventbrite.de/e/machine-learning-ai-ki-workshop-fur-anfangerinnen-tickets-1118885128539?aff=ebdssbcitybrowse
Ziele erreichen mit NLP: Dein Fahrplan für ein erfolgreiches Jahr!,"Wed, Jan 15, 7:00 PM GMT+1",Köln,https://www.eventbrite.de/e/ziele-erreichen-mit-nlp-dein-fahrplan-fur-ein-erfolgreiches-jahr-tickets-1015099137847?aff=ebdssbcitybrowse
Infoabend Deutsche Gesellschaft für Positive Psychologie,"Mon, Jan 20, 5:00 PM GMT+1",Köln,https://www.eventbrite.de/e/infoabend-deutsche-gesellschaft-fur-positive-psychologie-tickets-1095432290469?aff=ebdssbcitybrowse
Expert Insights | Alles zu seiner Zeit,"Thu, Jan 23, 7:00 PM GMT+1",Köln,https://www.eventbrite.at/e/expert-insights-alles-zu-seiner-zeit-tickets-1100894136999?aff=ebdssbcitybrowse
BRAFO Schulung Funktion Testleitung,"Thu, Jan 23, 9:00 AM GMT+1",Köln,https://www.eventbrite.de/e/brafo-schulung-funktion-testleitung-tickets-1095174659889?aff=ebdssbcitybrowse
11. Business Symposium,"Sat, Jan 25, 9:00 AM GMT+1",Köln,https://www.eventbrite.co.uk/e/11-business-symposium-tickets-1107135023659?aff=ebdssbcitybrowse
PERMA.teach – Modul 2 (Reihe 10),"Tue, Jan 28, 3:00 PM GMT+1",Köln,https://www.eventbrite.at/e/permateach-modul-2-reihe-10-tickets-781298634247?aff=ebdssbcitybrowse
Career Fair: Exclusive Tech Hiring Event-New Tickets Available,"Fri, Jan 31, 9:00 AM PST",Köln,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497?aff=ebdssbcitybrowse
Machine Learning & AI (KI) Workshop für Anfänger:innen,heute um 17:00 GMT+1,Köln,https://www.eventbrite.de/e/machine-learning-ai-ki-workshop-fur-anfangerinnen-tickets-1118885128539?aff=ebdssbcitybrowse
Ziele erreichen mit NLP: Dein Fahrplan für ein erfolgreiches Jahr!,"Wed, Jan 15, 7:00 PM GMT+1",Köln,https://www.eventbrite.de/e/ziele-erreichen-mit-nlp-dein-fahrplan-fur-ein-erfolgreiches-jahr-tickets-1015099137847?aff=ebdssbcitybrowse
Infoabend Deutsche Gesellschaft für Positive Psychologie,"Mon, Jan 20, 5:00 PM GMT+1",Köln,https://www.eventbrite.de/e/infoabend-deutsche-gesellschaft-fur-positive-psychologie-tickets-1095432290469?aff=ebdssbcitybrowse
Expert Insights | Alles zu seiner Zeit,"Thu, Jan 23, 7:00 PM GMT+1",Köln,https://www.eventbrite.at/e/expert-insights-alles-zu-seiner-zeit-tickets-1100894136999?aff=ebdssbcitybrowse
BRAFO Schulung Funktion Testleitung,"Thu, Jan 23, 9:00 AM GMT+1",Köln,https://www.eventbrite.de/e/brafo-schulung-funktion-testleitung-tickets-1095174659889?aff=ebdssbcitybrowse
11. Business Symposium,"Sat, Jan 25, 9:00 AM GMT+1",Köln,https://www.eventbrite.co.uk/e/11-business-symposium-tickets-1107135023659?aff=ebdssbcitybrowse
PERMA.teach – Modul 2 (Reihe 10),"Tue, Jan 28, 3:00 PM GMT+1",Köln,https://www.eventbrite.at/e/permateach-modul-2-reihe-10-tickets-781298634247?aff=ebdssbcitybrowse
Career Fair: Exclusive Tech Hiring Event-New Tickets Available,"Fri, Jan 31, 9:00 AM PST",Köln,https://www.eventbrite.com/e/career-fair-exclusive-tech-hiring-event-new-tickets-available-tickets-63049080497?aff=ebdssbcitybrowse
Köln Concert 50,"Fri, Jan 24, 7:30 PM",Christuskirche am Stadtgarten,https://www.eventbrite.co.uk/e/koln-concert-50-tickets-1058311461069?aff=ebdssbcitybrowse
fi = altshift5 w/ Len Faki & Vement,"Fri, Jan 24, 11:00 PM",fi,https://www.eventbrite.de/e/fi-altshift5-w-len-faki-vement-tickets-1116675659959?aff=ebdssbcitybrowse
OLDSCHOOL FLASHBACK präsentiert 25 Jahre Soul Channel – Save the Date!,"Sat, Jan 25, 10:00 PM",HERBRAND's ehrenfeld,https://www.eventbrite.de/e/oldschool-flashback-prasentiert-25-jahre-soul-channel-save-the-date-tickets-1106360176069?aff=ebdssbcitybrowse
