Titel,Datum,Ort,Link
Frauenmagie pur,"Sun, Jan 19, 1:00 PM","Körper, Geist Und Seele",https://www.eventbrite.de/e/frauenmagie-pur-tickets-1015923052197?aff=ebdssbcitybrowse
Glowing Soulfood & Selfcare Afternoon,"Thu, Jan 23, 5:00 PM",Adeli,https://www.eventbrite.com/e/glowing-soulfood-selfcare-afternoon-tickets-1098722972989?aff=ebdssbcitybrowse
Tantra Paar-Workshop,"Sat, Feb 15, 10:00 AM",bodhi Studio,https://www.eventbrite.de/e/tantra-paar-workshop-tickets-1076429913849?aff=ebdssbcitybrowse
dōTERRA Power Tag Köln - Lust auf Leben,"Sat, Feb 15, 10:00 AM",The New Yorker - Hotel,https://www.eventbrite.de/e/doterra-power-tag-koln-lust-auf-leben-tickets-1060581089589?aff=ebdssbcitybrowse
"Meditation, innere Ruhe… aber: Wie anfangen?",heute um 15:30,Kadampa Meditationszentrum Köln,https://www.eventbrite.de/e/meditation-innere-ruhe-aber-wie-anfangen-tickets-1114448167469?aff=ebdssbcitybrowse
"Hypnosis Workshop (couples only, age 20+)","Sun, Jan 12, 7:00 PM",Braunsfeld,https://www.eventbrite.com/e/hypnosis-workshop-couples-only-age-20-tickets-1107583836069?aff=ebdssbcitybrowse
Meditation /Achtsamkeit,"Wed, Jan 15, 1:00 PM",Springs 3 Pilates Studio - Sülz/Klettenberg,https://www.eventbrite.de/e/meditation-achtsamkeit-tickets-1061978098079?aff=ebdssbcitybrowse
Neurostimulation & Neurofeedback - Kostenloser Infotag für Fachpersonal,"Sat, Jan 18, 10:00 AM",AMERON Köln Hotel Regent,https://www.eventbrite.com/e/neurostimulation-neurofeedback-kostenloser-infotag-fur-fachpersonal-tickets-1088440909059?aff=ebdssbcitybrowse
Frauenmagie pur,"Sun, Jan 19, 1:00 PM","Körper, Geist Und Seele",https://www.eventbrite.de/e/frauenmagie-pur-tickets-1015923052197?aff=ebdssbcitybrowse
Glowing Soulfood & Selfcare Afternoon,"Thu, Jan 23, 5:00 PM",Adeli,https://www.eventbrite.com/e/glowing-soulfood-selfcare-afternoon-tickets-1098722972989?aff=ebdssbcitybrowse
Tantra Paar-Workshop,"Sat, Feb 15, 10:00 AM",bodhi Studio,https://www.eventbrite.de/e/tantra-paar-workshop-tickets-1076429913849?aff=ebdssbcitybrowse
dōTERRA Power Tag Köln - Lust auf Leben,"Sat, Feb 15, 10:00 AM",The New Yorker - Hotel,https://www.eventbrite.de/e/doterra-power-tag-koln-lust-auf-leben-tickets-1060581089589?aff=ebdssbcitybrowse
Internationales Tandem-Speeddating,"Tue, Jan 14, 6:00 PM",RehaNova Köln Neurologische Rehabilitationsklinik gGmbH,https://www.eventbrite.com/e/internationales-tandem-speeddating-tickets-1096090118049?aff=ebdssbcitybrowse
See more with CyTOF© - Introduction to High-Plex Flow Cytometry and IMC™,"Tue, Jan 14, 1:00 PM","CECAD Cologne, Joseph-Stelzmann-Straße 26",https://www.eventbrite.co.uk/e/see-more-with-cytof-introduction-to-high-plex-flow-cytometry-and-imctm-tickets-1115280206119?aff=ebdssbcitybrowse
Screening and Discussion: Audre Lorde - The Berlin Years 1984-1992,"Thu, Jan 16, 6:30 PM",Filmforum NRW,https://www.eventbrite.de/e/screening-and-discussion-audre-lorde-the-berlin-years-1984-1992-tickets-1116562140419?aff=ebdssbcitybrowse
Gut starten!,"Thu, Jan 16, 9:00 AM",Börsenpl. 1,https://www.eventbrite.de/e/gut-starten-tickets-1113550903729?aff=ebdssbcitybrowse
Sony Lofoten - Workshop,"Sat, Jan 18, 12:00 PM",Calumet Photo Video Köln,https://www.eventbrite.de/e/sony-lofoten-workshop-tickets-1106959197759?aff=ebdssbcitybrowse
Tag der offenen Tür bei Kieser Köln-Neustadt Nord,"Sat, Jan 18, 10:00 AM",Kieser,https://www.eventbrite.com/e/tag-der-offenen-tur-bei-kieser-koln-neustadt-nord-tickets-1109137342649?aff=ebdssbcitybrowse
Workshop Laura Kanto,"Wed, Jan 22, 2:00 PM",Universität zu Köln,https://www.eventbrite.com/e/workshop-laura-kanto-tickets-1105458890299?aff=ebdssbcitybrowse
Online Fundraising Forum 2025,"Tue, Feb 25, 9:30 AM",Am Kabellager 11,https://www.eventbrite.de/e/online-fundraising-forum-2025-tickets-999415497657?aff=ebdssbcitybrowse
Internationales Tandem-Speeddating,"Tue, Jan 14, 6:00 PM",RehaNova Köln Neurologische Rehabilitationsklinik gGmbH,https://www.eventbrite.com/e/internationales-tandem-speeddating-tickets-1096090118049?aff=ebdssbcitybrowse
See more with CyTOF© - Introduction to High-Plex Flow Cytometry and IMC™,"Tue, Jan 14, 1:00 PM","CECAD Cologne, Joseph-Stelzmann-Straße 26",https://www.eventbrite.co.uk/e/see-more-with-cytof-introduction-to-high-plex-flow-cytometry-and-imctm-tickets-1115280206119?aff=ebdssbcitybrowse
Screening and Discussion: Audre Lorde - The Berlin Years 1984-1992,"Thu, Jan 16, 6:30 PM",Filmforum NRW,https://www.eventbrite.de/e/screening-and-discussion-audre-lorde-the-berlin-years-1984-1992-tickets-1116562140419?aff=ebdssbcitybrowse
Gut starten!,"Thu, Jan 16, 9:00 AM",Börsenpl. 1,https://www.eventbrite.de/e/gut-starten-tickets-1113550903729?aff=ebdssbcitybrowse
Sony Lofoten - Workshop,"Sat, Jan 18, 12:00 PM",Calumet Photo Video Köln,https://www.eventbrite.de/e/sony-lofoten-workshop-tickets-1106959197759?aff=ebdssbcitybrowse
Tag der offenen Tür bei Kieser Köln-Neustadt Nord,"Sat, Jan 18, 10:00 AM",Kieser,https://www.eventbrite.com/e/tag-der-offenen-tur-bei-kieser-koln-neustadt-nord-tickets-1109137342649?aff=ebdssbcitybrowse
Workshop Laura Kanto,"Wed, Jan 22, 2:00 PM",Universität zu Köln,https://www.eventbrite.com/e/workshop-laura-kanto-tickets-1105458890299?aff=ebdssbcitybrowse
Online Fundraising Forum 2025,"Tue, Feb 25, 9:30 AM",Am Kabellager 11,https://www.eventbrite.de/e/online-fundraising-forum-2025-tickets-999415497657?aff=ebdssbcitybrowse
Business Breakfast mit Carsten von Fuchs von Morgen und Peter von Radius,"Wed, Jan 15, 9:00 AM",MAKU Restaurant & Bar,https://www.eventbrite.de/e/business-breakfast-mit-carsten-von-fuchs-von-morgen-und-peter-von-radius-tickets-1053280473249?aff=ebdssbcitybrowse
3. ADC Creative Campus: Motion Matters,"Thu, Jan 16, 2:00 PM",Hochschule Niederrhein: Campus Krefeld West,https://www.eventbrite.de/e/3-adc-creative-campus-motion-matters-tickets-1072056883999?aff=ebdssbcitybrowse
Tapas Niederrhein,"Sat, Jan 18, 5:30 PM",Bora,https://www.eventbrite.de/e/tapas-niederrhein-tickets-1030361086747?aff=ebdssbcitybrowse
Roundtable StädteTalk Wermelskirchen,"Wed, Jan 22, 10:00 AM",Stadtverwaltung Wermelskirchen,https://www.eventbrite.de/e/roundtable-stadtetalk-wermelskirchen-tickets-1095084610549?aff=ebdssbcitybrowse
"Yes, she can: Female Empowerment","Thu, Jan 23, 6:30 PM",Wirtschaftsclub Düsseldorf GmbH,https://www.eventbrite.de/e/yes-she-can-female-empowerment-tickets-1095999888169?aff=ebdssbcitybrowse
Muskeln - Deine starken Gesundmacher,"Tue, Jan 28, 6:00 PM",Sportpark Mönchengladbach,https://www.eventbrite.de/e/muskeln-deine-starken-gesundmacher-tickets-1080348524519?aff=ebdssbcitybrowse
"Meyer Sound Trainingsseminar-Reihe | Bergisch Gladbach, Deutschland 2025","Tue, Jan 28, 9:00 AM",Heinz-Fröling-Straße 17,https://www.eventbrite.com/e/meyer-sound-trainingsseminar-reihe-bergisch-gladbach-deutschland-2025-registrierung-1095741525399?aff=ebdssbcitybrowse
Noah Schnapp  @ German Stranger Con Vol. 4 - 2025,Kein Datum gefunden,Turbinenhalle Oberhausen,https://www.eventbrite.de/e/noah-schnapp-german-stranger-con-vol-4-2025-tickets-1086192052669?aff=ebdssbcitybrowse
Business Breakfast mit Carsten von Fuchs von Morgen und Peter von Radius,"Wed, Jan 15, 9:00 AM",MAKU Restaurant & Bar,https://www.eventbrite.de/e/business-breakfast-mit-carsten-von-fuchs-von-morgen-und-peter-von-radius-tickets-1053280473249?aff=ebdssbcitybrowse
3. ADC Creative Campus: Motion Matters,"Thu, Jan 16, 2:00 PM",Hochschule Niederrhein: Campus Krefeld West,https://www.eventbrite.de/e/3-adc-creative-campus-motion-matters-tickets-1072056883999?aff=ebdssbcitybrowse
Tapas Niederrhein,"Sat, Jan 18, 5:30 PM",Bora,https://www.eventbrite.de/e/tapas-niederrhein-tickets-1030361086747?aff=ebdssbcitybrowse
Roundtable StädteTalk Wermelskirchen,"Wed, Jan 22, 10:00 AM",Stadtverwaltung Wermelskirchen,https://www.eventbrite.de/e/roundtable-stadtetalk-wermelskirchen-tickets-1095084610549?aff=ebdssbcitybrowse
"Yes, she can: Female Empowerment","Thu, Jan 23, 6:30 PM",Wirtschaftsclub Düsseldorf GmbH,https://www.eventbrite.de/e/yes-she-can-female-empowerment-tickets-1095999888169?aff=ebdssbcitybrowse
Muskeln - Deine starken Gesundmacher,"Tue, Jan 28, 6:00 PM",Sportpark Mönchengladbach,https://www.eventbrite.de/e/muskeln-deine-starken-gesundmacher-tickets-1080348524519?aff=ebdssbcitybrowse
"Meyer Sound Trainingsseminar-Reihe | Bergisch Gladbach, Deutschland 2025","Tue, Jan 28, 9:00 AM",Heinz-Fröling-Straße 17,https://www.eventbrite.com/e/meyer-sound-trainingsseminar-reihe-bergisch-gladbach-deutschland-2025-registrierung-1095741525399?aff=ebdssbcitybrowse
Noah Schnapp  @ German Stranger Con Vol. 4 - 2025,Kein Datum gefunden,Turbinenhalle Oberhausen,https://www.eventbrite.de/e/noah-schnapp-german-stranger-con-vol-4-2025-tickets-1086192052669?aff=ebdssbcitybrowse
